brand,name,desc,category,servingSize,servingSizeUnit,calories,fat,carbs,protein,Calories_100g,Total_Fat_100g,Carbohydrates_100g,Protein_100g
Wingstop,"2 Crispy Tenders, Louisiana Rub","2 Crispy Tenders w/ Louisiana Rub, Flavors, Crispy Tenders, Flavors 3 Ways; Choice of: 3, 5, 8, 24, 30, 40, 50, 75, 100 Wings",Entrees,,,361,24,17,20,,,,
Wingstop,"2 Crispy Tenders, Mango Habanero Sauce","2 Crispy Tenders w/ Mango Habanero Sauce, Flavors, Crispy Tenders, Flavors 3 Ways; Choice of: 3, 5, 8, 24, 30, 40, 50, 75, 100 Wings",Entrees,,,268,9,27,20,,,,
Wingstop,"2 Crispy Tenders, Mild Sauce","2 Crispy Tenders w/ Mild Sauce, Flavors, Crispy Tenders, Flavors 3 Ways; Choice of: 3, 5, 8, 24, 30, 40, 50, 75, 100 Wings",Entrees,,,341,22,16,19,,,,
Wingstop,"2 Crispy Tenders, Original Hot Sauce","2 Crispy Tenders w/ Original Hot Sauce, Flavors, Crispy Tenders, Flavors 3 Ways; Choice of: 3, 5, 8, 24, 30, 40, 50, 75, 100 Wings",Entrees,,,228,9,16,20,,,,
Wingstop,"2 Crispy Tenders, Plain","2 Crispy Tenders, Plain, Flavors 3 Ways, Crispy Tenders; Choice of: 3, 5, 8, 24, 30, 40, 50, 75, 100 Wings",Entrees,,,224,9,16,19,,,,
Wingstop,"2 Crispy Tenders, Renfro Hickory Smoked BBQ Sauce","2 Crispy Tenders w/ Renfro Hickory Smoked BBQ Sauce, Flavors, Crispy Tenders, Flavors 3 Ways; Choice of: 3, 5, 8, 24, 30, 40, 50, 75, 100 Wings",Entrees,,,276,9,29,20,,,,
Wingstop,"2 Crispy Tenders, Renfro Teriyaki Sauce","2 Crispy Tenders w/ Renfro Teriyaki Sauce, Flavors, Crispy Tenders, Flavors 3 Ways; Choice of: 3, 5, 8, 24, 30, 40, 50, 75, 100 Wings",Entrees,,,259,9,24,20,,,,
Wingstop,"2 Crispy Tenders, Renfro's Hawaiian Sauce","2 Crispy Tenders w/ Renfro's Hawaiian Sauce, Flavors, Crispy Tenders, Flavors 3 Ways; Choice of: 3, 5, 8, 24, 30, 40, 50, 75, 100 Wings",Entrees,,,255,9,24,20,,,,
On the Border,2 Dos XX Fish Tacos,"2 Dos XX Fish Tacos w/ Flour Tortillas, Dos XX Beer Battered Fish, Red Chile Sauce, Shredded Cabbage, Carrots, Mixed Cheese, Pico de Gallo & Mexican Rice, Tacos, Burritos y Chimis",Sandwiches,,,1530,10,121,37,,,,
IHOP,2 Double Blueberry Pancakes,"2 Double Blueberry Pancakes, Pancake Flavors, Create Your Pancake Combo, All You Can Eat Pancakes & Seasonal Offerings",Entrees,,,350,9,60,8,,,,
Denny's,2 Egg Whites,"2 Egg Whites, Breakfast Sides, Build Your Own Grand Slam, Breakfast, Custom Build Components",AppetizersSides,4,oz,60,1,1,12,53,1,1,11
Bob Evans,2 Egg Whites,"2 Egg Whites, Any Way You Want Em Eggs, Breakfast, Farm Fresh Eggs",AppetizersSides,,,70,2,1,11,,,,
Perkins,2 Egg Whites,"2 Egg Whites, Breakfast, Build Your Own Omelette",ToppingsIngredients,92,g,50,0,,10,54,0,,11
Dairy Queen,2 Eggs,"2 Eggs, Breakfast",AppetizersSides,,,150,9,2,12,,,,
Denny's,2 Eggs,"2 Eggs, Build Your Own Grand Slam, Breakfast, Custom Build Components",AppetizersSides,,,250,21,1,13,,,,
O'Charley's,2 Eggs To Order,"2 Eggs To Order, Sunday Brunch Sides",AppetizersSides,,,290,25,1,14,,,,
Steak 'N Shake,"2 Eggs, Over Easy, Medium or Hard","2 Eggs, Over Easy, Medium or Hard, Sides, Breakfast, Everyday Favorites, Breakfast",AppetizersSides,,,150,10,,13,,,,
Steak 'N Shake,"2 Eggs, Scrambled","2 Eggs, Scrambled, Everyday Favorites, Breakfast, Sides, Breakfast",AppetizersSides,,,160,11,1,13,,,,
On the Border,"2 Empanadas, Chicken Tinga w/ Original Queso","2 Empanadas, Chicken Tinga w/ Original Queso, Sides & Add Ons, Happy Hour, Late Night; Choice In: Classics, Create Your Own Combo",Entrees,,,520,36,30,17,,,,
On the Border,"2 Empanadas, Ground Beef w/ Original Queso","2 Empanadas, Ground Beef w/ Original Queso, Sides & Add Ons, Happy Hour, Late Night; Choice In: Classics, Create Your Own Combo",Entrees,,,530,37,31,17,,,,
Starbucks,2 French Toast Bantam Bagels,"2 French Toast Bantam Bagels w/ Maple Cream Cheese, Bakery, Food",Baked Goods,74,g,200,8,30,6,270,11,41,8
Bob Evans,2 Fried Chicken Breast,"2 Fried Chicken Breast, Chicken Dinners",Entrees,,,460,21,21,46,,,,
Bob Evans,2 Fried Eggs,"2 Fried Eggs, Any Way You Like Em Eggs, Breakfast",AppetizersSides,,,160,11,1,13,,,,
IHOP,2 Fried Eggs,"2 Fried Eggs, for Ultimate Bacon & Sausage Combo, Create Your Pancake Combo, Create Your Sweet Crepe Combo, Create Your French Toast Combo, Create Your Belgian Waffle Combo, Egg Combo, Regular Combo, Sausage & Eggs Combo, Bacon & Eggs Combo, Ham & Eggs Combo, Made to Stack Pancakes, 55+ Rise N Shine, 55+ 2 x 2 x 2, 2 x 2 x 2, Big 2 Egg Breakfast, Biscuits & Gravy Combo w/ Country Gravy, Biscuits & Gravy Combo w/ Sausage Gravy, Breakfast Sampler, Chorizo & Eggs, Weekday Breakfast Special 2 Eggs, Hash Browns & Toast, Weekday Breakfast Special 2 Eggs & 2 Buttermilk Pancakes, Split Decision Breakfast, Smokehouse Combo, Sirloin Tips & Eggs, Quick 2 Egg Breakfast, Pork Chops & Eggs, 6 oz, Pork Chops & Eggs, 4 oz, Chicken/Country Fried Steak & Eggs w/ Sausage Gravy, Chicken/Country Fried Steak &  Eggs w/ Country Gravy & Chicken Fried Chicken & Eggs w/ Country Gravy,",AppetizersSides,,,170,12,1,13,,,,
Perkins,"2 Grade AA Eggs, Large","2 Grade AA Eggs, Large, Breakfast Menu, Hearty Extras, Breakfast, Build A Breakfast",AppetizersSides,104,g,170,13,2,12,163,13,2,12
Bob Evans,2 Grilled Chicken Breasts,"2 Grilled Chicken Breasts, Chicken Dinners",Entrees,,,300,7,0,58,,,,
On the Border,2 Grilled Mahi Tacos,"2 Grilled Mahi Tacos on Soft Corn Tortillas w/ Grilled Mahi, Creamy Red Chile Sauce, Shredded Cabbage & Carrots, Queso Fresco, Pico de Gallo & Mexican Rice w/out Beans, Tacos, Burritos y Chimis, Gluten Free",Sandwiches,,,960,55,86,30,,,,
Ruby Tuesday,"2 Grilled Shrimp Skewers, Add On","2 Grilled Shrimp Skewers, Add On, Steaks, Lunch & Dinner Menu Choices, Steak Add Ons, Lunch Menu, Dinner Menu",Entrees,,,233,15,0,18,,,,
Carl's Jr.,"2 Hand Breaded Chicken Tenders, Kids","2 Hand Breaded Chicken Tenders, Kids, Chicken & More; Choice of: Honey Mustard, Buttermilk Ranch or Sweet & Bold BBQ Dipping Sauces",Entrees,85,g,180,9,9,16,212,11,11,19
PF Chang's,"2 Hand Folded Crab Wontons, Add On","2 Hand Folded Crab Wontons, Add Ons, Lunch",AppetizersSides,,,230,10,31,5,,,,
IHOP,2 Hard or Soft Boiled Eggs,"2 Hard or Soft Boiled Eggs, Eggs, Breakfast",AppetizersSides,,,160,11,1,13,,,,
Bob Evans,2 Hardwood Smoked Bacon Slices,"2 Hardwood Smoked Bacon Slices, Breakfast Meats, Sides, Breakfast",AppetizersSides,,,93,7,1,6,,,,
IHOP,2 Harvest Grain N Nut Pancakes,"2 Harvest Grain N Nut Pancakes, Pancake Flavors, Create Your Pancake Combo, All You Can Eat Pancakes & Seasonal Offerings",Entrees,,,530,29,54,13,,,,
IHOP,2 Harvest Grain N Nut Pancakes w/ Blueberry Compote,"2 Harvest Grain N Nut Pancakes w/ Blueberry Compote, Pancake Flavors, Create Your Pancake Combo, All You Can Eat Pancakes & Seasonal Offerings",Entrees,,,560,24,73,13,,,,
IHOP,2 Harvest Grain N Nut Pancakes w/ Raspberry,"2 Harvest Grain N Nut Pancakes w/ Raspberry, Pancake Flavors, All You Can Eat Pancakes & Seasonal Offerings; Choice in: Create Your Pancake Combo",Entrees,,,560,24,73,14,,,,
Whataburger,2 Hash Brown Sticks,"2 Hash Brown Sticks, Choice of adding: breakfast platters",Fried Potatoes,30,g,90,5,10,1,300,17,33,3
Denny's,2 Hearty Wheat Pancakes,"2 Hearty Wheat Pancakes, Build Your Own Grand Slam, Breakfast",Entrees,,,310,2,64,10,,,,
Denny's,2 Honey Jalapeno Bacon Strips,"2 Honey Jalapeno Bacon Strips, Slams, Breakfast Sides, Soups, Salads & Sides, Burgers & Sandwiches",AppetizersSides,,,200,16,0,13,,,,
PF Chang's,2 House Made Chicken Egg Rolls,"2 House Made Chicken Egg Rolls w/ Veggies & Sweet & Sour Mustard Sauce, Dim Sum, Main Menu, Lunch, Starters & Small Plates, Hours of Happy",AppetizersSides,,,320,7,52,14,,,,
PF Chang's,"2 House Made Pork Rolls, Pork","2 House Made Pork Rolls, Pork w/ Veggies & Sweet & Sour Mustard Sauce, also called House Made Pork Egg Rolls, Dim Sum, Lunch, Main Menu",AppetizersSides,,,380,12,54,13,,,,
Perkins,2 Jumbo Round Biscuit,"2 Jumbo Round Biscuit, Breakfast, Hearty Extras",Baked Goods,166,g,560,26,68,12,337,16,41,7
Wingstop,"2 Jumbo Wings, Atomic Sauce","2 Jumbo Wings w/ Atomic Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,144,9,2,15,,,,
Wingstop,"2 Jumbo Wings, Cajun Sauce","2 Jumbo Wings w/ Cajun Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,142,8,1,15,,,,
Wingstop,"2 Jumbo Wings, Garlic Parmesan Sauce","2 Jumbo Wings w/ Garlic Parmesan Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,204,15,1,16,,,,
Wingstop,"2 Jumbo Wings, Ken's Hawaiian Sauce","2 Jumbo Wings w/ Ken's Hawaiian Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,156,8,5,15,,,,
Wingstop,"2 Jumbo Wings, Ken's Hickory Smoked BBQ Sauce","2 Jumbo Wings w/ Ken's Hickory Smoked BBQ Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,170,8,8,15,,,,
Wingstop,"2 Jumbo Wings, Ken's Teriyaki Sauce","2 Jumbo Wings w/ Ken's Teriyaki Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,160,8,6,16,,,,
Wingstop,"2 Jumbo Wings, Lemon Pepper Sauce","2 Jumbo Wings w/ Lemon Pepper Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,180,13,1,15,,,,
Wingstop,"2 Jumbo Wings, Louisiana Rub","2 Jumbo Wings w/ Louisiana Rub, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,170,12,1,15,,,,
Wingstop,"2 Jumbo Wings, Mango Habanero Sauce","2 Jumbo Wings w/ Mango Habanero Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,160,8,6,15,,,,
Wingstop,"2 Jumbo Wings, Mild Sauce","2 Jumbo Wings w/ Mild Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,184,13,1,15,,,,
Wingstop,"2 Jumbo Wings, Original Hot Sauce","2 Jumbo Wings w/ Original Hot Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,142,9,1,15,,,,
Wingstop,"2 Jumbo Wings, Plain","2 Jumbo Wings, Plain, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,140,8,1,15,,,,
Wingstop,"2 Jumbo Wings, Renfro Hickory Smoked BBQ Sauce","2 Jumbo Wings w/ Renfro Hickory Smoked BBQ Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,170,8,8,15,,,,
Wingstop,"2 Jumbo Wings, Renfro Teriyaki Sauce","2 Jumbo Wings w/ Renfro Teriyaki Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,160,8,5,16,,,,
Wingstop,"2 Jumbo Wings, Renfro's Hawaiian Sauce","2 Jumbo Wings w/ Renfro's Hawaiian Sauce, Flavors, Jumbo Wings; Choice of: 8, 12, 20, 30, 50, 75, 100 Wings",AppetizersSides,,,156,8,4,15,,,,
Perkins,2 Large Fresh Eggs,"2 Large Fresh Eggs, for Southern Fried Chicken Biscuit Breakfast, Down Home Biscuit Breakfast, Country Sausage Biscuit Breakfast, Granny's Country Smasher, The Wrappin Granny, 55+ 2 Egg Omelette, Twice as Nice Combo, Steak Medallions & Eggs, Pork Chops & Eggs, Magnificent Seven, Hearty Mans Combo, Country Fried Steak & Eggs, Country Biscuit & Eggs, Perkins Steak & Eggs, Corned Beef Hash & Eggs, Classic Eggs Benedict, All American, Ooh La La French Toast Platter, Lemon Blueberry Pie Pancakes Platter, Brioche French Toast Platter, Belgian Waffle Platter, The Big Country Smasher, Southwest Breakfast Burrito Sandwich, Northwest Blueberry Crisp Pancake Platter, Heartland Sausage & Cheese Smasher, California Avocado Benedict, Big Texas Country Fried Steak Melt, Hammin Egger, Eggs in a Hole & Cheesy Egg Melt, Big Biscuit Breakfasts, Breakfast, Hearty Extras, Smashers, Handhelds, Lunch & Dinners, 55+ Breakfast, Seniors & Kids, 55+ Build Your Own Omelette, Fresh Cracked Classics, Perkins Perfect Platters, Great American Breakfasts, Specials, Great Plates",ToppingsIngredients,100,g,140,9,2,12,140,9,2,12
Applebee's,2 Mini Cheeseburgers,"2 Mini Cheeseburgers, Really Really Hungry, Kids Menu; Choice of Adding: Side & Drink; Choice in: Really Really Hungry Kids Meal",Burgers,,,650,39,44,31,,,,
Perkins,"2 Mini Chocolate Chip Cookies, Kids Treats","2 Mini Chocolate Chip Cookies, Kids Treats, Kids Menu, Seniors & Kids, Cookies, Bakery & Desserts",Desserts,35,g,160,10,15,2,457,29,43,6
Applebee's,2 Mini Hamburgers,"2 Mini Hamburgers, Really Really Hungry, Kids Menu; Choice of Adding: Side & Drink; Choice in: Really Really Hungry Kids Meal",Burgers,,,580,33,44,27,,,,
Perkins,"2 Mini Sugar Cookies, Kids Treats","2 Mini Sugar Cookies, Kids Treats, Kids Menu, Seniors & Kids, Cookies, Bakery & Desserts",Desserts,35,g,160,7,21,2,457,20,60,6
The Capital Grille,2 Mini Tenderloin Sandwiches,"2 Mini Tenderloin Sandwiches, Plates, Lunch Menu; Choice of Adding: Parmesan Truffle Fries",Sandwiches,,,530,30,34,31,,,,
IHOP,2 New York Cheesecake Pancakes,"2 New York Cheesecake Pancakes, Pancake Flavors, Create Your Pancake Combo, All You Can Eat Pancakes & Seasonal Offerings",Entrees,,,520,19,77,11,,,,
Sbarro,2 New Yorker Slice & Drink,"2 New Yorker Slice & Drink, Combos, Full & Side",Pizza,,,1030,31,147,43,,,,
Burger King,2 Oatmeal Raisin Cookies,"2 Oatmeal Raisin Cookies, Desserts",Desserts,76,g,310,13,46,4,408,17,61,5
IHOP,2 Original Buttermilk Pancakes,"2 Original Buttermilk Pancakes, Pancake Flavors, Create Your Pancake Combo, All You Can Eat Pancakes & Seasonal Offerings, Create Your Own Omelette, Create Your Own Omelette 55+",Entrees,,,310,14,38,8,,,,
IHOP,2 Original Buttermilk Pancakes w/ Glazed Strawberries,"2 Original Buttermilk Pancakes w/ Glazed Strawberries, Pancake Flavors, Create Your Pancake Combo, All You Can Eat Pancakes & Seasonal Offerings",Entrees,,,330,9,56,8,,,,
IHOP,2 Original Buttermilk Pancakes w/ Peaches,"2 Original Buttermilk Pancakes w/ Peaches, Pancake Flavors, Create Your Pancake Combo, All You Can Eat Pancakes & Seasonal Offerings",Entrees,,,330,9,55,8,,,,
IHOP,2 Original Buttermilk Pancakes w/ Raspberry,"2 Original Buttermilk Pancakes w/ Raspberry, Pancake Flavors, All You Can Eat Pancakes & Seasonal Offerings; Choice in: Create Your Pancake Combo",Entrees,,,340,9,56,8,,,,
Taco Bell,2 Pack Cinnabon Delights,"2 Pack Cinnabon Delights w/ Icing & Cinnamon Sugar, Breakfast, Dollar Cravings",Baked Goods,,,160,9,17,2,,,,
Friendly's,2 Pancakes,"2 Pancakes, Breakfast, Kids Breakfast, Kids",Entrees,,,670,13,132,7,,,,
Steak 'N Shake,"2 Pancakes, a la Carte","2 Pancakes w/ Butter & Syrup, a la Carte, Side Order",Entrees,,,540,16,94,6,,,,
Steak 'N Shake,"2 Pancakes, Bread Side w/ Butter & Syrup","2 Pancakes w/ Butter & Syrup, Sides, Breakfast, Bread Side",Entrees,,,430,14,73,3,,,,
Bojangles,2 Piece Homestyle Tenders Kids Meal,"2 Piece Homestyle Tenders Kids Meal w/ Water & Apple Sauce, Kids Meals, Kids",Entrees,,,610,29,69,21,,,,
Bojangles,2 Piece Supremes Kids Meal,"2 Piece Supremes Kids Meal w/ Water & Apple Sauce, Kids Meals, Kids",Entrees,,,590,27,70,20,,,,
IHOP,2 Poached Eggs,"2 Poached Eggs, Eggs, for Egg Combo, Sausage & Eggs Combo, Ham & Eggs Combo, Made to Stack Pancakes, 55+ 2 x 2 x 2, 55+ Rise N Shine, 2 x 2 x 2, Big 2 Egg Breakfast, Biscuits & Gravy Combo w/ Country Gravy, Biscuits & Gravy Combo w/ Sausage Gravy, Break",AppetizersSides,,,130,8,1,11,,,,
IHOP,"2 Pork Chops, 4 oz","2 Pork Chops, 4 oz, Meat, for Big 3 Egg Breakfast",AppetizersSides,,,310,19,0,35,,,,
IHOP,"2 Pork Chops, 6 oz","2 Pork Chops, 6 oz, Meat, for Big 3 Egg Breakfast",AppetizersSides,,,450,24,1,55,,,,
Perkins,2 Pork Sausage Links,"2 Pork Sausage Links, Hearty Extras, Breakfast",AppetizersSides,54,g,240,24,1,6,444,44,2,11
IHOP,2 Pork Sausage Links,"2 Pork Sausage Links, Made to Add Sides, All You Can Eat Pancakes & Seasonal Offerings",AppetizersSides,,,180,17,1,6,,,,
Perkins,"2 Pork Sausage Links, for hearty Mans Combo","2 Pork Sausage Links, for Hearty Mans Combo, Fresh Cracked Classics, Breakfast, Hearty Extras,",ToppingsIngredients,50,g,210,20,1,6,420,40,2,12
Perkins,2 Pork Sausage Patties,"2 Pork Sausage Patties, Breakfast, Hearty Extras",AppetizersSides,84,g,350,34,1,12,417,40,1,14
IHOP,2 Pork Sausage Patties,"2 Pork Sausage Patties, Made to Add Sides, All You Can Eat Pancakes & Seasonal Offerings",AppetizersSides,,,410,39,1,13,,,,
Arby's,2 Potato Cakes,"2 Potato Cakes, Sides, Sliders, Snacks, Friends of Meat",Fried Potatoes,100,g,250,14,23,2,250,14,23,2
Perkins,2 Potato Pancakes,"2 Potato Pancakes, Lunch & Dinners, On A Side Note, Breakfast, Hearty Extras",Fried Potatoes,140,g,440,18,59,10,314,13,42,7
Arby's,2 Prime Cut Chicken Tenders,"2 Prime Cut Chicken Tenders, Kids; Choice of Adding: BBQ Dipping Sauce, Buffalo Dipping Sauce, Honey Mustard Dipping Sauce & Ranch Dipping Sauce",Entrees,87,g,240,11,19,16,276,13,22,18
IHOP,2 Raspberry White Chocolate Chip Pancakes,"2 Raspberry White Chocolate Chip Pancakes, Pancake Flavors, Create Your Pancake Combo, All You Can Eat Pancakes & Seasonal Offerings",Entrees,,,560,12,104,10,,,,
IHOP,2 Red Velvet Cheesecake Pancakes,"2 Red Velvet Cheesecake Pancakes, Pancake Flavors, All You Can Eat Pancakes & Seasonal Offerings; Choice in: Create Your Pancake Combo",Entrees,,,400,10,70,9,,,,
IHOP,2 Red Velvet Pancakes,"2 Red Velvet Pancakes, Pancake Flavors, Create Your Pancake Combo, All You Can Eat Pancakes & Seasonal Offerings",Entrees,,,400,10,70,9,,,,
Jack in the Box,2 Regular Tacos,"2 Regular Tacos w/ American Cheese, Shredded Lettuce & Taco Sauce, Value Menu",Sandwiches,162,g,340,19,33,12,210,12,20,7
Denny's,2 Sausage Links,"2 Sausage Links, Build Your Own Grand Slam, Build Your Own Jr Grand Slam, Kids & Adults Menu, Custom Build Components",AppetizersSides,,,160,15,1,5,,,,
Perkins,2 Sausage Patties,"2 Sausage Patties, Hearty Extras, Breakfast",AppetizersSides,88,g,380,38,1,12,432,43,1,14
White Castle,"2 Savory Grilled Chicken Sliders Combo w/ out Cheese, 1 Small Fries & Soft Drink","2 Savory Grilled Chicken Sliders Combo w/out Cheese, 1 Small Fries & Soft Drink, Combos",Sandwiches,,,1010,64,74,30,,,,
Bob Evans,2 Scrambled Eggs,"2 Scrambled Eggs, Any Way You Like Em Eggs",AppetizersSides,,,160,10,2,14,,,,
IHOP,2 Scrambled Eggs,"2 Scrambled Eggs, Eggs, for Egg Combo, Regular Combo, Sausage & Eggs Combo, Bacon & Eggs Combo, Ham & Eggs Combo, Made to Stack Pancakes, 55+ 2 x 2 x 2, 55+ Rise N Shine, 2 x 2 x 2, Big 2 Egg Breakfast, Biscuits & Gravy Combo w/ Country Gravy, Biscuits & Gravy Combo w/ Sausage Gravy, Breakfast Sampler, Chicken Fried Chicken & Eggs w/ Country Gravy, Chicken/Country Fried Steak &  Eggs w/ Country Gravy, Chicken/Country Fried Steak & Eggs w/ Sausage Gravy, Pork Chops & Eggs, 4 oz, Pork Chops & Eggs, 6 oz, Quick 2 Egg Breakfast, Sirloin Tips & Eggs, Smokehouse Combo, Split Decision Breakfast, Weekday Breakfast Special 2 Eggs & 2 Buttermilk Pancakes, Weekday Breakfast Special 2 Eggs, Hash Browns & Toast, Classic Skillets, Create Your Pancake Combo, Create Your Sweet Crepe Combo, Create Your French Toast Combo, Create Your Belgian Waffle Combo,",AppetizersSides,,,220,17,2,15,,,,
IHOP,2 Sirloin Steaks,"2 Sirloin Steaks, for Classic Skillets, Choice of Meat, Made to Crack Egg Specialties",AppetizersSides,,,340,20,0,41,,,,
IHOP,2 Slices of Spam,"2 Slices of Spam, Made to Add Sides, All You Can Eat Pancakes & Seasonal Offerings",AppetizersSides,,,180,16,2,7,,,,
Denny's,2 Slices of Toast w/ Margarine,"2 Slices of Toast w/ Margarine, for Build Your Own Grand Slam, Breakfast Sides",Baked Goods,,,270,13,31,5,,,,
IHOP,2 Smoked Sausage Links,"2 Smoked Sausage Links, Made to Add Sides, All You Can Eat Pancakes & Seasonal Offerings",AppetizersSides,,,400,34,4,19,,,,
Chipotle,"2 Soft Corn Tortillas, Kids","2 Soft Corn Tortilla, Kids, Tortillas, for Kids Build Your Own",ToppingsIngredients,3,oz,140,1,28,2,165,1,33,2
Chipotle,"2 Soft Flour Tortillas, Kids","2 Soft Flour Tortillas, Kids Build Your Own",ToppingsIngredients,2,oz,170,5,26,4,300,9,46,7
On the Border,2 Sopapillas w/ Chocolate Syrup,"2 Sopapillas w/ Chocolate Syrup, Desserts, Fiesta Trio, Friday, Daily Specials",Desserts,,,490,11,92,6,,,,
On the Border,2 Sopapillas w/ Honey,"2 Sopapillas w/ Honey, Mexican Pastries & Cinnamon Sugar, Desserts, Daily Specials, Friday, Fiesta Trio",Desserts,,,580,11,117,5,,,,
On the Border,2 Southwest Chicken Tacos,"2 Southwest Chicken Tacos on Flour Tortillas w/ Grilled Chicken, Cheddar Cheese, Creamy Red Chile Sauce, Onion Strings & Mexican Rice w/out Beans, Border Smart, Tacos, Burritos y Chimis",Sandwiches,,,1220,72,103,38,,,,
Steak 'N Shake,2 Steakburger Minis,"2 Steakburger Minis w/ Fries, Kids, Kids Plates; Choice of Adding: Applesauce or Fries or Cheese Fries",Burgers,,,310,17,26,14,,,,
IHOP,2 Strawberry Banana Pancakes,"2 Strawberry Banana Pancakes, Pancake Flavors, Create Your Pancake Combo, All You Can Eat Pancakes & Seasonal Offerings",Entrees,,,390,9,72,9,,,,
Checker's Drive-In/Rallys,2 Tacos,"2 Tacos, Burgers & Sandwiches",Sandwiches,,,440,24,35,25,,,,
Chili's,2 Thin Beef Patties,"2 Thin Beef Patties, for Craft Burgers",ToppingsIngredients,,,390,29,1,30,,,,
White Castle,"2 Toast Sandwiches Combo w/ Eggs, American Cheese, Sausage or Bacon on Toast, Small Hash Brown Nibblers & Coffee","2 Toast Sandwiches Combo w/ Eggs, American Cheese, Sausage or Bacon on Toast, Small Hash Brown Nibblers & Coffee, Breakfast",Sandwiches,,,1130,73,83,35,,,,
On the Border,"2 Tomatillo Enchiladas, Chicken Tinga","2 Tomatillo Enchiladas, Chicken Tinga w/ Tomatillo Sauce, Queso Fresco & Pico de Gallo w/out Side, Enchiladas, Border Smart, Gluten Free; Choice of Adding: Grilled Vegetables, Black Beans or Cilantro Lime Rice",Entrees,,,300,7,40,20,,,,
On the Border,"2 Tomatillo Enchiladas, Spinach & Mushroom","2 Tomatillo Enchiladas, Spinach & Mushroom w/ Tomatillo Sauce, Queso Fresco & Pico de Gallo w/out Side, Enchiladas, Border Smart, Gluten Free; Choice of Adding: Grilled Vegetables, Black Beans or Cilantro Lime Rice",Entrees,,,250,7,42,7,,,,
Chili's,2 Top Shelf Tacos w/ Pork Carnitas,"2 Top Shelf Tacos on Flour Tortillas w/ Pork Carnitas, Jack Cheese, Chimichurri Sauce, Pico de Gallo, Avocado, Cilantro & Queso Fresco w/out Side Fries, also called Pork Carnitas Tacos, Lunch Combos; Choice of Adding: Side Fries",Sandwiches,,,660,38,33,46,,,,
Chili's,2 Top Shelf Tacos w/ Ranchero Chicken,"2 Top Shelf Tacos on Flour Tortillas w/ Ranchero Chicken, Jack Cheese, Chimichurri Sauce, Pico de Gallo, Avocado, Cilantro & Queso Fresco w/out Side Fries, also called Ranchero Chicken Tacos, Lunch Combos; Choice of Adding: Side Fries",Sandwiches,,,550,28,36,38,,,,
Denny's,2 Turkey Bacon Strips,"2 Turkey Bacon Strips, Build Your Own Grand Slam, Build Your Own Jr Grand Slam, Kids & Adults Menu",AppetizersSides,,,55,4,1,6,,,,
IHOP,2 Turkey Bacon Strips,"2 Turkey Bacon Strips, Made to Add Sides, All You Can Eat Pancakes & Seasonal Offerings",AppetizersSides,,,70,5,1,5,,,,
Bob Evans,2 Turkey Sausage Links,"2 Turkey Sausage Links, Breakfast, Breakfast Meats, Sides",AppetizersSides,,,140,7,2,18,,,,
IHOP,2 Turkey Sausage Links,"2 Turkey Sausage Links, Made to Add Sides, All You Can Eat Pancakes & Seasonal Offerings",AppetizersSides,,,90,7,0,8,,,,
IHOP,2 Turkey Sausage Patties,"2 Turkey Sausage Patties, Made to Add Sides, All You Can Eat Pancakes & Seasonal Offerings",AppetizersSides,,,140,10,0,12,,,,
Papa John's,2 Unsauced Roasted Wings,"2 Unsauced Roasted Wings w/ Bone In, Papa's Wings & Poppers, Sides & Desserts, Sides, Ingredients; Choice of Adding: Dipping Sauce",AppetizersSides,67,g,140,9,0,14,209,13,0,21
PF Chang's,2 Vegetable Spring Rolls,"2 Vegetable Spring Rolls w/ Sweet Chili Sauce, Dim Sum, Lunch, Main Menu",AppetizersSides,,,230,6,43,3,,,,
